superFE,relation,subFE
3023,inheritance,4701
3023,precedes,4454
3158,using,2257
3615,inheritance,531
3615,inheritance,8317
3615,inheritance,452
3615,inheritance,900
4454,inheritance,10217
4454,precedes,9237
4454,see_also,8452
4454,using,1965
4454,using,8517
4497,causative_of,5609
4497,inheritance,4527
4497,inheritance,7876
4497,using,6865
4497,using,6161
4497,inheritance,5688
4934,inheritance,8492
4934,inheritance,5043
4934,inheritance,9621
4934,inheritance,13264
4934,inheritance,3153
4934,inheritance,13462
4937,inheritance,4943
4937,inheritance,4968
4937,inheritance,5137
4937,inheritance,7059
4937,inheritance,1197
4937,inheritance,9401
4937,inheritance,9815
4937,inheritance,951
4937,inheritance,9655
4937,see_also,1221
4937,using,6972
4968,using,4978
4968,using,8440
5015,inheritance,6334
5015,inheritance,8124
5015,inheritance,5728
5015,inheritance,9341
5015,inheritance,9990
5015,using,6096
5043,inheritance,4937
5043,inheritance,5849
5043,inheritance,6108
5043,inheritance,6350
5043,inheritance,6772
5043,inheritance,7036
5043,inheritance,3569
5043,inheritance,6981
5043,inheritance,1106
5043,inheritance,6530
5043,inheritance,4162
5043,inheritance,6748
5043,inheritance,5015
5043,inheritance,3601
5043,inheritance,4047
5043,inheritance,992
5043,inheritance,1280
5043,inheritance,3444
5043,inheritance,2239
5043,inheritance,1616
5043,inheritance,2083
5043,inheritance,3565
5043,inheritance,6673
5043,inheritance,7517
5043,inheritance,1532
5043,inheritance,2275
